County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
경상북도,김천시,어모면,능치리 632-1,신애정신병원,정신병원,36.2109739,128.0535276
전라남도,순천시,조례동,1742,성가롤로병원,종합병원,34.9647108,127.5431308
전라북도,전주시,완산구,중화산동1가 149-1,엠마오사랑병원,병원,35.812555,127.1372522
경상북도,영주시,가흥1동,1459번지 3호,의료법인일맥의료재단영주인애가한방병원,한방병원,36.815068,128.619484
전라북도,전주시,완산구,중화산동2가 5,전주우석병원,병원,35.8174569,127.1285409
전라남도,완도군,완도읍,가용리 56번지,완도대성병원,병원,34.317131,126.7356173
전라남도,목포시,동명동,329번지,의료법인세양의료재단신안병원,,34.7894803,126.3928025
전라남도,목포시,동명동,329번지,의료법인 세양의료재단 신안병원,병원,34.7894803,126.3928025
전라남도,순천시,연향동,1317번지 5호 5호,오병원,의사,34.9523823,127.5170289
전라남도,화순군,화순읍,광덕리 163번지 1호,화순고려병원,병원,35.0560729,126.989578
전라남도,목포시,상동,833번지,목포기독병원,의사,34.8042233,126.4202484
전라북도,익산시,남중동1가,168-5,연세요양병원,요양병원(일반요양병원),35.942981,126.954224
전라남도,영광군,영광읍,신하리 142번지 12호 12호,의료법인거명의료재단 영광기독신하병원,,35.2669112,126.4947093
경상남도,진주시,신안동,437번지 1호,진주복음병원,병원,35.1854931,128.0694329
전라남도,순천시,매곡동,130번지 1호 1호,전라남도 순천의료원,의사,34.9584069,127.4836432
전라남도,목포시,상동,149번지 2호 2호,목포한국병원,의사,34.809386,126.4162925
경상남도,사천시,축동면,가산리 450번지 1호,의료법인 순영의료재단 순영병원,정신병원,35.0928525,128.0447035
전라남도,순천시,조례동,1596번지 1호 1호,의료법인내일의료재단 현대여성아동병원,,34.9533914,127.5226067
전라북도,전주시,완산구,경원동3가 84번지,의료법인계산재단문실버요양병원,요양병원(일반요양병원),35.8196542,127.1491457
전라북도,익산시,인화동1가,130,익산제일병원,병원,35.9314141,126.9525662
경상북도,포항시,북구,죽도동 646번지 15호 15호,의료법인현암의료재단 포항우리병원,,36.0220761,129.3512763
경상남도,거창군,거창읍,송정리 1093 한국병원,의료법인아림의료재단거창한국병원,병원,35.6812007,127.8977924
경상북도,구미시,형곡동,855번지,차의과학대학교부속구미차병원,의사,36.1144706,128.3405344
전라북도,전주시,완산구,효자동1가 398번지 398-5,전주기독병원,병원,35.8087192,127.1154063
경상남도,창원시,남양동,5,창원중앙병원,병원,35.2140149,128.7008029
경상북도,경산시,하양읍,은호리 130번지 3호 3호,국군대구병원,,35.9022203,128.788183
