Bank_Type,Bank_Name,Bank_Address,County,City,Town,Address,Latitude,Longitude
우리은행,밀양(출),경남 밀양시 내일동   석정로,경상남도,밀양시,내일동,석정로,35.493713,128.754263
우리은행,사천금융센터,경남 사천시 사천읍   옥산로,경상남도,사천시,사천읍,옥산로,35.087718,128.087673
우리은행,순천지점,전남 순천시 연향동   이수로,전라남도,순천시,연향동,이수로,34.9403,127.5221
우리은행,안동지점,경북 안동시 옥동   경북대로,경상북도,안동시,옥동,경북대로,36.561542,128.70175
우리은행,양산금융센터,경남 양산시 북부동   중앙로,경상남도,양산시,북부동,중앙로,35.3466,129.041
우리은행,여수지점,전남 여수시 관문동   동문로,전라남도,여수시,관문동,동문로,34.742635,127.7425
우리은행,여천지점,전남 여수시 학동   시청로,전라남도,여수시,학동,시청로,34.7623,127.6625
우리은행,영주지점,경북 영주시 영주동   구성로,경상북도,영주시,영주동,구성로,36.828253,128.623704
우리은행,익산영등동지점,전북 익산시 영등동   무왕로,전라북도,익산시,영등동,무왕로,35.952341,126.972578
우리은행,익산지점,전북 익산시 창인동1가   익산대로16길,전라북도,익산시,창인동1가,익산대로16길,35.9418,126.9509
우리은행,전북혁신도시(출),전북 완주군 이서면   안전로,전라북도,완주군,이서면,안전로,35.820702,127.022574
우리은행,전주금융센터,전북 전주시 완산구 경원동1가   팔달로,전라북도,전주시,완산구,경원동1가 팔달로,35.8122,127.119813
우리은행,전주대학교(출),전북 전주시 완산구 효자동2가   천잠로,전라북도,전주시,완산구,효자동2가 천잠로,35.8122,127.119813
우리은행,전주송천동지점,전북 전주시 덕진구 송천동1가   송천로,전라북도,전주시,덕진구,송천동1가 송천로,35.8294,127.134362
우리은행,전주중앙금융센터,전북 전주시 완산구 효자동2가   홍산로,전라북도,전주시,완산구,효자동2가 홍산로,35.8122,127.119813
우리은행,정읍지점,전북 정읍시 상동   충정로,전라북도,정읍시,상동,충정로,35.5612,126.8711
우리은행,중소벤처기업진흥공단지점,경남 진주시 충무공동   동진로,경상남도,진주시,충무공동,동진로,35.1749,128.150337
우리은행,진영지점,경남 김해시 진영읍   김해대로361번길,경상남도,김해시,진영읍,김해대로361번길,35.304435,128.736909
우리은행,진주지점,경남 진주시 대안동   진주대로,경상남도,진주시,대안동,진주대로,35.1948,128.0839
우리은행,진해지점,경남 창원시 진해구 평안동   백구로,경상남도,창원시,진해구,평안동 백구로,35.13306,128.710081
우리은행,창원공단금융센터,경남 창원시 성산구 외동   창원대로,경상남도,창원시,성산구,외동 창원대로,35.198384,128.70294
우리은행,창원금융센터,경남 창원시 성산구 상남동   상남로,경상남도,창원시,성산구,상남동 상남로,35.198384,128.70294
우리은행,창원토월지점,경남 창원시 성산구 상남동   동산로,경상남도,창원시,성산구,상남동 동산로,35.198384,128.70294
우리은행,통영지점,경남 통영시 중앙동   중앙로,경상남도,통영시,중앙동,중앙로,34.844871,128.422873
우리은행,포항POSCO금융센터,경북 포항시 남구 괴동동   동해안로,경상북도,포항시,남구,괴동동 동해안로,36.008482,129.359398
우리은행,포항공대(출),경북 포항시 남구 지곡동   청암로,경상북도,포항시,남구,지곡동 청암로,36.008482,129.359398
우리은행,포항법원(출),경북 포항시 북구 양덕동   법원로,경상북도,포항시,북구,양덕동 법원로,36.043872,129.368534
우리은행,포항중앙지점,경북 포항시 북구 죽도동   중흥로,경상북도,포항시,북구,죽도동 중흥로,36.043872,129.368534
우리은행,포항지점,경북 포항시 북구 상원동   서동로,경상북도,포항시,북구,상원동 서동로,36.043872,129.368534
우리은행,한국항공우주산업(출),경남 사천시 사남면   공단1로,경상남도,사천시,사남면,공단1로,35.052558,128.075173
우리은행,한전빛가람금융센터,전남 나주시 빛가람동   전력로,전라남도,나주시,빛가람동,전력로,35.02188,126.790193
전북은행,경원동,전라북도 전주시 완산구   208,전라북도,전주시,완산구,208,35.8122,127.119813
전북은행,고창,전라북도 고창군 고창읍   202,전라북도,고창군,고창읍,202,35.434461,126.703018
전북은행,군산,전라북도 군산시 장미동   30,전라북도,군산시,장미동,30,35.9894367,126.7128135
전북은행,군산대,전라북도 군산시 미룡동   558,전라북도,군산시,미룡동,558,35.9522384,126.6760538
전북은행,군산시청,전라북도 군산시 조촌동   17,전라북도,군산시,조촌동,17,35.9762380,126.7499645
전북은행,금암,전라북도 전주시 덕진구   5,전라북도,전주시,덕진구,5,35.8294,127.134362
전북은행,김제,전라북도 김제시 요촌동   33,전라북도,김제시,요촌동,33,35.8074935,126.8929859
전북은행,남원,전라북도 남원시 도통동   50,전라북도,남원시,도통동,50,35.4185859,127.3987962
전북은행,따뜻한금융클리닉전주센터,전라북도 전주시 완산구   216,전라북도,전주시,완산구,216,35.8122,127.119813
전북은행,모래내,전라북도 전주시 덕진구   169,전라북도,전주시,덕진구,169,35.8294,127.134362
전북은행,모현동,전라북도 익산시 모현동   36,전라북도,익산시,모현동,36,35.9544644,126.9477751
전북은행,무주,전라북도 무주군 무주읍   10,전라북도,무주군,무주읍,10,36.008792,127.662238
전북은행,부안,전라북도 부안군 부안읍   200,전라북도,부안군,부안읍,200,35.729625,126.736814
전북은행,삼천동,전라북도 전주시 완산구   140,전라북도,전주시,완산구,140,35.8122,127.119813
전북은행,상공회의소,전라북도 전주시 완산구   276,전라북도,전주시,완산구,276,35.8122,127.119813
전북은행,새만금,전라북도 군산시 오식도동   466,전라북도,군산시,오식도동,466,35.958517,126.548051
전북은행,서곡,전라북도 전주시 완산구   556,전라북도,전주시,완산구,556,35.8122,127.119813
전북은행,서나운,전라북도 군산시 나운동   27,전라북도,군산시,나운동,27,35.96679,126.694791
전북은행,서신동,전라북도 전주시 완산구   62,전라북도,전주시,완산구,62,35.8122,127.119813
전북은행,서진로,전라북도 전주시 완산구   294,전라북도,전주시,완산구,294,35.8122,127.119813
전북은행,소룡동,전라북도 군산시 소룡동   593,전라북도,군산시,소룡동,593,35.9803119,126.6737600
전북은행,솔내,전라북도 전주시 덕진구   181,전라북도,전주시,덕진구,181,35.8294,127.134362
전북은행,송천동,전라북도 전주시 덕진구   31,전라북도,전주시,덕진구,31,35.8294,127.134362
전북은행,수송동,전라북도 군산시 수송동   205,전라북도,군산시,수송동,205,35.964879,126.717553
전북은행,순창,전라북도 순창군 순창읍   217,전라북도,순창군,순창읍,217,35.37699,127.147026
전북은행,아중,전라북도 전주시 덕진구   34,전라북도,전주시,덕진구,34,35.8294,127.134362
전북은행,안골,전라북도 전주시 덕진구   265,전라북도,전주시,덕진구,265,35.8294,127.134362
전북은행,안행교,전라북도 전주시 완산구   62,전라북도,전주시,완산구,62,35.8122,127.119813
전북은행,에코시티,전라북도 전주시 덕진구   35,전라북도,전주시,덕진구,35,35.8294,127.134362
전북은행,여의동,전라북도 전주시 덕진구   54-1,전라북도,전주시,덕진구,54-1,35.8294,127.134362
전북은행,영등동,전라북도 익산시 영등동   12,전라북도,익산시,영등동,12,35.9665615,126.9741997
전북은행,영업부,전라북도 전주시 덕진구   566,전라북도,전주시,덕진구,566,35.8294,127.134362
전북은행,완주군청,전라북도 완주군 용진읍   61,전라북도,완주군,용진읍,61,35.883603,127.156789
전북은행,완주산단,전라북도 완주군 봉동읍   1033,전라북도,완주군,봉동읍,1033,35.941715,127.165875
전북은행,우석대,전라북도 완주군 삼례읍   443,전라북도,완주군,삼례읍,443,35.913192,127.077957
전북은행,원광,전라북도 익산시 신동   893,전라북도,익산시,신동,893,35.959818,126.961288
전북은행,원광대,전라북도 익산시 신동   460,전라북도,익산시,신동,460,35.9644950,126.9527500
전북은행,원광보건대,전라북도 익산시 신용동   501,전라북도,익산시,신용동,501,35.9679274,126.9464988
전북은행,익산,전라북도 익산시 중앙동   10,전라북도,익산시,중앙동,10,35.9379914,126.9469807
전북은행,익산공단,전라북도 익산시 영등동   156,전라북도,익산시,영등동,156,35.9570157,126.9777305
전북은행,익산시청,전라북도 익산시 남중동   81,전라북도,익산시,남중동,81,35.9463368,126.9567603
전북은행,인화동,전라북도 익산시 인화동   28-6,전라북도,익산시,인화동,28-6,35.9321784,126.9545000
전북은행,장승로,전라북도 전주시 완산구   294,전라북도,전주시,완산구,294,35.8122,127.119813
전북은행,전북대,전라북도 전주시 덕진구   567,전라북도,전주시,덕진구,567,35.8294,127.134362
전북은행,전북대병원,전라북도 전주시 덕진구   20,전라북도,전주시,덕진구,20,35.8294,127.134362
