County,City,Town,Address,Store_Name,Store_Type,Latitude,Longitude
경기도,고양시,덕양구,삼송동 293,고양삼송현대헤리엇,그 밖의 대규모점포,37.6530129,126.8990826
인천광역시,중구,운서동,2807-4 1~2층,버터플라이시티,그 밖의 대규모점포,37.4922908,126.4924270
전라남도,광양시,중동,1811-1 홈플러스 광양점,홈플러스 광양점,대형마트,34.9283716,127.6948092
부산광역시,북구,만덕동,818 e편한세상금정산,(주)지에스리테일 만덕이편한점,그 밖의 대규모점포,35.2155346,129.0373324
경기도,남양주시,화도읍,묵현리 368-2,한성몰 남양주점,전문점,37.6565565,127.2817287
서울특별시,광진구,구의동,66-25,구의 자이르네 판매시설,그 밖의 대규모점포,37.5456656,127.0885492
충청북도,청주시,청원구,오창읍 주성리 584,이마트에브리데이 오창산단점,구분없음,36.7336769,127.4519259
경기도,수원시,장안구,정자동 950 화서역 파크푸르지오,화서역파크푸르지오 오피스텔&상가,복합쇼핑몰,37.2898236,126.9947004
경기도,김포시,구래동,6871-33,롯데프레시 김포구래가맹점,구분없음,37.6446540,126.6194166
대구광역시,동구,율하동,1418,(주)이마트에브리데이 율하점,구분없음,35.8629030,128.6945199
대전광역시,유성구,도룡동,3-1,대전신세계 엑스포점,백화점,36.3773621,127.3843144
서울특별시,마포구,염리동,14-149,GS THE FRESH 마포염리점,구분없음,37.5542792,126.9469524
경기도,오산시,원동,773-1,오산 원동 상점가,구분없음,37.1445996,127.0708738
경상남도,김해시,주촌면,주촌선천지구 도시개발구역 30B 8L,코스트코 홀세일 김해점,대형마트,35.235826,128.830638
경기도,구리시,인창동,430 구리유통종합상가,엘마트 구리점,대형마트,37.6126800,127.1408598
서울특별시,용산구,한강로3가,63-70,GS THE FRESH 용산해링턴점,구분없음,37.5259057,126.9676590
경기도,군포시,도마교동,478,군포송정 풍산리치안 플랫몰,그 밖의 대규모점포,37.3156549,126.9238908
경기도,성남시,수정구,시흥동 288-2,파미어스몰,쇼핑센터,37.4120494,127.0981104
경기도,안양시,동안구,호계동 956,GS THE FRESH 평촌어바인점,구분없음,37.3721195,126.9547522
경상남도,창원시,마산합포구,월영동 703-2 대동아파트,(주)지에스리테일 마산월영점,대형마트,35.1751188,128.5580751
경상남도,창원시,마산합포구,월영동 738 마린애시앙부영,(주)지에스리테일 월영마린점,대형마트,35.1742379,128.5646018
부산광역시,기장군,기장읍,시랑리 산 46,부산 오시리아 테마파크 판매시설,쇼핑센터,35.1946151,129.2147839
인천광역시,미추홀구,도화동,1011 더샵 인천스카이타워 1단지,(주)이마트에브리데이 인천도화점,대형마트,37.4700598,126.6651582
서울특별시,강남구,역삼동,676 센터필드,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),그 밖의 대규모점포,37.5032144,127.0415057
대구광역시,수성구,범어동,2262,범어더리브스퀘어,그 밖의 대규모점포,35.8642343,128.6189813
경기도,광명시,일직동,512-3,광명역세권택지개발지구복합단지판매시설D멀티플렉스AK PLAZA,쇼핑센터,37.4187526,126.8826531
경기도,광명시,일직동,512-3,에이케이플라자(주) 광명점,쇼핑센터,37.4187526,126.8826531
전북특별자치도,전주시,덕진구,송천동2가 1329-2 전주 에코시티 이마트,전주에코시티 DK-mall,쇼핑센터,35.8724343,127.1238144
서울특별시,도봉구,방학동,484-7,GS THE FRESH 방학신동아점,구분없음,37.6601026,127.0273897
경기도,화성시,오산동,1022,트레이더스 홀세일 클럽 동탄점,대형마트,37.1935162,127.0971023
부산광역시,해운대구,중동,1829 엘시티,엘시티 더 몰,그 밖의 대규모점포,35.1605627,129.1688078
대전광역시,동구,가오동,557번지 패션아일랜드,홈플러스(주)대전가오점,대형마트,36.3069376,127.4580200
