시도,구분,주소,연간_임대료(원),면적(㎡),지목
경기도,매도-수탁,경기도 연천군 장남면 원당리 603,"195,000,000","1,891",전
경기도,매도-수탁,경기도 연천군 장남면 원당리 608,"353,863,000","1,557",전
경기도,매도-수탁,경기도 연천군 장남면 원당리 606-2,"411,818,000","1,812",전
경기도,매도-수탁,경기도 연천군 장남면 원당리 607,"574,090,000","2,526",전
경기도,매도-수탁,경기도 연천군 장남면 원당리 606-1,"405,000,000","1,782",답
경기도,매도-수탁,경기도 연천군 장남면 원당리 605-5,"383,636,000","1,688",전
경기도,임대-수탁,경기도 연천군 전곡읍 신답리 382,"1,800,000","3,170",답
경기도,임대-수탁,경기도 연천군 중면 적거리 2,"380,000","4,860",전
경기도,임대-수탁,경기도 연천군 중면 적거리 3,"190,000","2,083",전
경기도,임대-수탁,경기도 연천군 중면 적거리 3,"190,000","2,083",전
경기도,임대-수탁,경기도 연천군 중면 적거리 35,"100,000","1,071",전
경기도,임대-수탁,경기도 연천군 중면 합수리 272,"400,000","3,868",답
경기도,임대-수탁,경기도 연천군 중면 합수리 273,"300,000","2,856",답
경기도,임대-수탁,경기도 연천군 중면 합수리 14,"800,000","2,182",답
경기도,임대-수탁,경기도 용인시 처인구 양지면 양지리 167-3,"100,000",231,답
경기도,임대-수탁,경기도 용인시 처인구 양지면 양지리 167-4,"50,000",75,답
경기도,임대-수탁,경기도 용인시 처인구 양지면 양지리 166-2,"350,000","1,948",답
경기도,임대-수탁,경기도 용인시 처인구 양지면 주북리 601-1,"500,000","3,369",답
경기도,임대-수탁,경기도 용인시 처인구 양지면 주북리 601-2,"350,000","1,302",답
경기도,임대-수탁,경기도 용인시처인구 삼가동 157-17,"250,000",280,전
경기도,임대-수탁,경기도 용인시처인구 삼가동 157-30,"150,000",238,전
경기도,임대-수탁,경기도 이천시 모가면 진가리 88-3,"300,000","1,142",답
경기도,임대-수탁,경기도 파주시 군내면 읍내리 18,"900,000","3,818",전
경기도,임대-수탁,경기도 파주시 야동동 1034-2,"300,000","2,090",전
경기도,임대-수탁,경기도 평택시 청북읍 한산리 339-2,"600,000","1,954",답
경기도,임대-수탁,경기도 평택시 팽성읍 추팔리 50-56,"10,000",20,답
경기도,임대-수탁,경기도 평택시 팽성읍 추팔리 50-54,"310,000","1,319",답
경기도,임대-수탁,경기도 포천시 가산면 마전리 7-2,"20,000",178,전
경기도,임대-수탁,경기도 포천시 가산면 마전리 99,"820,000","7,610",전
경기도,임대-수탁,경기도 포천시 가산면 마전리 74-2,"150,000","1,385",전
경기도,임대-수탁,경기도 포천시 가산면 마전리 102,"190,000","1,759",전
경기도,임대-수탁,경기도 포천시 가산면 마전리 74-1,"80,000",698,전
경기도,임대-수탁,경기도 포천시 가산면 마전리 7-3,"20,000",161,전
경기도,임대-수탁,경기도 포천시 가산면 마전리 269,"1,600,000","6,093",전
경기도,임대-수탁,경기도 포천시 가산면 마전리 7,"50,000",445,전
경기도,임대-수탁,경기도 포천시 가산면 마전리 99,"820,000","7,610",전
경기도,임대-수탁,경기도 포천시 가산면 마전리 7-4,"10,000",23,전
경기도,임대-수탁,경기도 포천시 가산면 우금리 400-2,"3,500,000","3,117",과수원
경기도,임대-수탁,경기도 포천시 군내면 명산리 313-1,"826,000","2,175",답
경기도,임대-수탁,경기도 포천시 군내면 좌의리 159-2,"1,083,000","2,850",답
경기도,임대-수탁,경기도 포천시 군내면 좌의리 159-1,"742,000","1,954",답
경기도,임대-수탁,경기도 포천시 군내면 좌의리 314,"119,000","4,654",답
경기도,임대-수탁,경기도 포천시 소흘읍 무림리 570,"780,000","2,062",전
경기도,임대-수탁,경기도 포천시 소흘읍 무림리 569,"220,000",562,전
경기도,임대-수탁,경기도 포천시 소흘읍 초가팔리 512,"500,000","1,615",답
경기도,매도-수탁,경기도 포천시 이동면 연곡리 599-8,"66,500,000",634,전
경기도,매도-수탁,경기도 포천시 이동면 연곡리 599-7,"175,000,000","1,670",전
경기도,임대-수탁,경기도 포천시 이동면 연곡리 803,"1,000,000","5,008",전
경기도,매도-수탁,경기도 포천시 이동면 연곡리 599-10,"108,500,000","1,036",전
경기도,임대-수탁,경기도 포천시 일동면 사직리 22-2,"900,000","8,823",전
경기도,임대-수탁,경기도 포천시 창수면 가양리 522-10,"1,000,000","4,519",답
경기도,임대-수탁,경기도 포천시 창수면 가양리 183,"500,000",873,답
경기도,임대-수탁,경기도 포천시 창수면 가양리 559,"1,400,000","5,015",전
경기도,임대-수탁,경기도 포천시 창수면 가양리 157,"1,000,000","2,496",답
경기도,임대-수탁,경기도 포천시 창수면 가양리 343,"500,000","1,013",답
경기도,임대-수탁,경기도 포천시 화현면 명덕리 399,"4,780,000","6,311",답
경기도,임대-수탁,경기도 포천시 화현면 명덕리 400,"520,000",688,답
경기도,임대-수탁,경기도 하남시 창우동 30,"100,000","1,388",답
경기도,임대-수탁,경기도 하남시 창우동 29,"100,000","1,243",답
충청북도,임대-수탁,충청북도 괴산군 감물면 광전리 276,"700,000","1,752",답
충청북도,임대-수탁,충청북도 괴산군 감물면 매전리 61,"24,000",708,전
충청북도,임대-수탁,충청북도 괴산군 감물면 매전리 61-4,"26,000",767,전
충청북도,임대-수탁,충청북도 괴산군 감물면 오성리 776-1,"900,000","3,233",전
충청북도,임대-수탁,충청북도 괴산군 문광면 광덕리 49,"300,000","2,780",전
충청북도,임대-수탁,충청북도 괴산군 문광면 대명리 218,"1,000,000","5,028",전
충청북도,임대-수탁,충청북도 괴산군 문광면 송평리 303-2,"4,000",73,전
충청북도,임대-수탁,충청북도 괴산군 문광면 송평리 303,"102,000","2,034",전
충청북도,임대-수탁,충청북도 괴산군 사리면 화산리 535,"3,700,000","4,909",전
충청북도,임대-수탁,충청북도 괴산군 소수면 고마리 326,"300,000","4,711",전
충청북도,임대-수탁,충청북도 괴산군 소수면 소암리 491,"750,000","2,992",전
충청북도,임대-수탁,충청북도 괴산군 소수면 옥현리 257-5,"300,000","1,322",전
충청북도,임대-수탁,충청북도 괴산군 소수면 입암리 143,"200,000","2,188",전
충청북도,임대-수탁,충청북도 괴산군 연풍면 삼풍리 327-6,"100,000",864.9,전
충청북도,임대-수탁,충청북도 괴산군 연풍면 삼풍리 394-3,"400,000","2,630",전
충청북도,임대-수탁,충청북도 괴산군 연풍면 삼풍리 327-90,"400,000","3,668",전
충청북도,임대-수탁,충청북도 괴산군 연풍면 삼풍리 394-4,"800,000","4,055",전
충청북도,임대-수탁,충청북도 괴산군 연풍면 삼풍리 394-6,"400,000","2,537",전
충청북도,매도-수탁,충청북도 괴산군 장연면 송덕리 492-3,"100,000,000","1,553",전
충청북도,임대-수탁,충청북도 괴산군 청안면 운곡리 614-1,"200,000","1,150",전
충청북도,임대-수탁,충청북도 괴산군 청안면 운곡리 628-1,"130,000",764,전
충청북도,매도-수탁,충청북도 괴산군 청천면 거봉리 130-1,"85,000,000","4,446",전
충청북도,임대-수탁,충청북도 괴산군 청천면 고성리 419,"150,000","1,286",전
충청북도,임대-수탁,충청북도 괴산군 청천면 고성리 295-2,"420,000","2,496",전
충청북도,임대-수탁,충청북도 괴산군 청천면 고성리 302-2,"30,000",221,전
