School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
국산초등학교,초등학교,경상남도,거제시,옥포동,919,34.89669859,128.6940575
수양초등학교,초등학교,경상남도,사천시,사천읍,평화리 184-5,35.07899441,128.0893651
주곡초등학교,초등학교,경기도,남양주시,진접읍,금곡리 1004,37.72470084,127.205968
별하람초등학교,초등학교,경기도,파주시,당하동,478,37.742186,126.7592236
삼장초등학교,초등학교,경상남도,산청군,삼장면,석남리 188,35.33515887,127.8391601
수산초등학교,초등학교,경상남도,밀양시,하남읍,수산리 468-5,35.375745,128.711852
월평초등학교,초등학교,부산광역시,기장군,정관읍,월평리 125-2,35.35969505,129.1383592
사포초등학교,초등학교,경상남도,밀양시,부북면,전사포리 574-7,35.47504878,128.7336037
용현초등학교,초등학교,경상남도,사천시,용현면,송지리 186,35.01321986,128.0628809
가평초등학교,초등학교,경기도,가평군,가평읍,읍내리 553,37.83081328,127.5072897
장호초등학교,초등학교,강원특별자치도,삼척시,근덕면,용화리 166번지,37.28869694,129.3019081
광주삼육초등학교,초등학교,광주광역시,남구,주월동,468-2,35.1302339,126.893732
가야곡초등학교,초등학교,충청남도,논산시,가야곡면,강청리 343-14,36.14401067,127.1683998
대전산성초등학교,초등학교,대전광역시,중구,사정동,419,36.29927134,127.3864685
가남초등학교,초등학교,부산광역시,부산진구,가야동,12,35.15451624,129.0440621
서울남정초등학교,초등학교,서울특별시,용산구,원효로2가,54-1,37.53567383,126.9648037
청룡초등학교,초등학교,부산광역시,금정구,청룡동,46,35.27279359,129.0917544
매포초등학교,초등학교,충청북도,단양군,매포읍,평동리 271,37.03443987,128.3016823
행안초등학교,초등학교,전북특별자치도,부안군,행안면,진동리 199-1,35.71986766,126.7168239
순흥초등학교,초등학교,경상북도,영주시,순흥면,읍내리 378-2,36.91222279,128.5772975
대구경동초등학교,초등학교,대구광역시,수성구,범어동,89,35.85220646,128.639355
미암초등학교,초등학교,전라남도,영암군,미암면,선황리 1190-1,34.69947493,126.5734211
서울삼릉초등학교,초등학교,서울특별시,강남구,삼성동,42,37.51325992,127.0469495
수남초등학교,초등학교,전북특별자치도,장수군,장수읍,개정리 346,35.6253493,127.5073013
송라초등학교,초등학교,경기도,화성시,매송면,송라리 585,37.27306194,126.8886245
홍산초등학교,초등학교,충청남도,부여군,홍산면,북촌리 148,36.21772249,126.7618269
비룡초등학교,초등학교,전북특별자치도,김제시,용지면,신정리 140-82,35.84412437,126.9898157
모산초등학교,초등학교,부산광역시,사상구,모라동,550,35.18571631,128.9952076
목포삼학초등학교,초등학교,전라남도,목포시,산정동,1367,34.79100802,126.4008226
서울고척초등학교,초등학교,서울특별시,구로구,고척동,129-3,37.50094829,126.856979
남춘천초등학교,초등학교,강원특별자치도,춘천시,온의동,550 번지,37.86162079,127.7220519
목포산정초등학교,초등학교,전라남도,목포시,산정동,34,34.801476,126.3903242
서울동의초등학교,초등학교,서울특별시,광진구,구의동,4-5,37.55342244,127.0990473
야로초등학교,초등학교,경상남도,합천군,야로면,하빈리 492,35.71173042,128.1784003
금산초등학교,초등학교,충청남도,금산군,금산읍,상리 176-9,36.10379297,127.4899096
대구관문초등학교,초등학교,대구광역시,북구,매천동,743,35.90869955,128.5461555
대구장기초등학교,초등학교,대구광역시,달서구,장기동,813-3,35.84439346,128.5290125
무주중앙초등학교,초등학교,전북특별자치도,무주군,무주읍,읍내리 416,36.01276658,127.6645466
대구한실초등학교,초등학교,대구광역시,달서구,대곡동,1106,35.79831931,128.5285639
