School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
담양금성중학교,중학교,전라남도,담양군,금성면,석현리 51,35.340526,127.0211102
구림중학교,중학교,전라남도,영암군,군서면,동구림리 414-1,34.76013402,126.6259299
두루중학교,중학교,세종특별자치시,고운동,1385,,36.51807167,127.2386496
청람중학교,중학교,전라남도,강진군,군동면,라천리 161,34.649205,126.820322
감문중학교,중학교,경상북도,김천시,감문면,삼성리 676,36.21758894,128.1861782
한밭여자중학교,중학교,대전광역시,동구,대동,28,36.32892323,127.4485993
만월중학교,중학교,인천광역시,남동구,서창동,658,37.42646913,126.7521838
백산중학교,중학교,전북특별자치도,부안군,백산면,오곡리 547-5,35.70808449,126.7910026
숭인중학교,중학교,서울특별시,동대문구,답십리동,463-1,37.57392046,127.044089
서일중학교,중학교,서울특별시,서초구,서초동,1313,37.49852986,127.0232207
산내중학교,중학교,전북특별자치도,남원시,산내면,대정리 601,35.42289088,127.6274529
광주서석중학교,중학교,광주광역시,서구,화정동,525,35.14925067,126.881315
서야중학교,중학교,충청남도,당진시,합덕읍,합덕리 262-1,36.79091841,126.7874361
대전구봉중학교,중학교,대전광역시,서구,관저동,1132,36.30041393,127.3301539
경덕중학교,중학교,충청북도,청주시,흥덕구,가경동 1500,36.61943157,127.4360439
광산중학교,중학교,광주광역시,광산구,우산동,1569-2,35.15922599,126.808605
원천중학교,중학교,경기도,수원시,영통구,원천동 78-7,37.27640244,127.0490259
천생중학교,중학교,경상북도,구미시,구평동,474-2,36.09007828,128.4377035
당산중학교,중학교,서울특별시,영등포구,당산동,121,37.53203308,126.907614
대전서중학교,중학교,대전광역시,서구,괴정동,266-4,36.3364274,127.374561
산외중학교,중학교,전북특별자치도,정읍시,산외면,정량리 1175-1,35.61870768,127.0448971
오상중학교,중학교,경상북도,구미시,장천면,상장리 700,36.12502535,128.4961942
매화중학교,중학교,경상북도,울진군,매화면,매화리 1141,36.91225713,129.3811157
수명중학교,중학교,서울특별시,강서구,내발산동,757,37.54856699,126.8240596
중계중학교,중학교,서울특별시,노원구,중계동,358-3,37.65563822,127.0752409
현북중학교,중학교,강원특별자치도,양양군,현북면,상광정리 556-2 번지,38.01470005,128.6939467
마성중학교,중학교,경상북도,문경시,마성면,외어리 400,36.69529959,128.133819
신정여자중학교,중학교,서울특별시,강서구,화곡동,477-1,37.53838143,126.8570622
광양백운중학교,중학교,전라남도,광양시,중동,1674-8,34.93473703,127.6946462
두일중학교,중학교,경기도,파주시,동패동,1744,37.71998297,126.712557
전주온빛중학교,중학교,전북특별자치도,전주시,덕진구,장동 1070,35.84350884,127.058398
웅상여자중학교,중학교,경상남도,양산시,평산동,281-1,35.37547538,129.1448484
장곡중학교,중학교,경기도,시흥시,장곡동,826,37.379873,126.7876166
신기중학교,중학교,경기도,안양시,동안구,호계동 1075-1,37.37908069,126.9588302
번동중학교,중학교,서울특별시,강북구,번동,231,37.63244533,127.0362077
선유도중학교,중학교,전북특별자치도,군산시,옥도면,선유도리 234,35.811858,126.4124056
신양중학교,중학교,충청남도,예산군,신양면,신양리 318-5,36.603915,126.8709326
신포중학교,중학교,강원특별자치도,춘천시,사북면,신포리 322 번지,38.025546,127.6424296
구남중학교,중학교,부산광역시,북구,구포동,894,35.19595722,128.9978621
고천중학교,중학교,경기도,의왕시,오전동,413,37.35235722,126.9829824
성덕중학교,중학교,광주광역시,광산구,장덕동,1119,35.19561959,126.8164213
호계중학교,중학교,경상남도,창원시,마산회원구,내서읍 호계리 645,35.26685106,128.5139257
진례중학교,중학교,경상남도,김해시,진례면,초전리 243,35.24908424,128.7561667
넙도초등학교노화중학교넙도분교장,중학교,전라남도,완도군,노화읍,내리 488-1,34.18846082,126.5042111
대륜중학교,중학교,대구광역시,수성구,만촌동,산241,35.85168394,128.6567622
김천여자중학교,중학교,경상북도,김천시,성내동,51,36.12577398,128.1191369
정광중학교,중학교,광주광역시,광산구,소촌동,815,35.15514287,126.7960286
강화여자중학교,중학교,인천광역시,강화군,강화읍,갑곳리 1089-8,37.74429631,126.4950253
삼척중학교,중학교,강원특별자치도,삼척시,자원동,회강길 66,37.438993,129.1436447
연현중학교,중학교,경기도,안양시,만안구,석수동 442-5,37.42938399,126.899507
구이중학교,중학교,전북특별자치도,완주군,구이면,원기리 543-4,35.734126,127.1183738
낭주중학교,중학교,전북특별자치도,부안군,부안읍,봉덕리 658-2,35.713802,126.7346339
신백중학교,중학교,경기도,화성시,남양읍,남양리 2057,37.20343745,126.8302503
지산중학교,중학교,대구광역시,수성구,지산동,1256-1,35.82463972,128.6285993
옥곡중학교,중학교,전라남도,광양시,옥곡면,묵백리 74-1,34.99549987,127.7009386
지정중학교,중학교,강원특별자치도,원주시,지정면,간현리 795-1 번지,37.36618378,127.8389446
광주동신여자중학교,중학교,광주광역시,북구,풍향동,475,35.16943786,126.9223461
남원중학교,중학교,전북특별자치도,남원시,향교동,640,35.42133278,127.3794518
군산월명중학교,중학교,전북특별자치도,군산시,소룡동,1526,35.97516852,126.6797151
감곡중학교,중학교,전북특별자치도,정읍시,감곡면,방교리 488,35.7183138,126.9235695
중랑중학교,중학교,서울특별시,중랑구,중화동,276-1,37.60535089,127.0807928
연암중학교,중학교,울산광역시,북구,연암동,1128,35.58514247,129.360901
