County,City,Town,Address,Theater_Name,Theater_Type,Latitude,Longitude
서울특별시,강남구,도곡동,174-3,롯데컬처웍스(주) 도곡7관,영화관,37.4874592,127.0471432
경상남도,창원시,마산회원구,내서읍 중리 1043-1,메가박스(주)창원내서지점 2관,영화관,35.2490389,128.5106842
경기도,용인시,기흥구,고매동 889,메가박스중앙(주)용인기흥지점(컴포트 1관),영화관,37.2237296,127.1148582
제주특별자치도,제주시,한림읍,"한림리 887-2 1층, 한림 작은영화관",한림 작은영화관 제1관,영화관,33.4094261,126.2685896
충청남도,천안시,동남구,성남면 화성리 188-6,천안자동차극장 1관,자동차극장,36.7565772,127.2622946
경기도,고양시,덕양구,"행신동 762-2 로터스플레이스 5,6층",씨지브이(주) 고양행신 제6관,영화관,37.6136194,126.8345112
경기도,양주시,옥정동,963-12,CGV 양주옥정 2관,영화관,37.8194198,127.0921605
전라남도,완도군,완도읍,가용리 9-191번지 완도맞춤형복합문화센터,완도 빙그레 시네마 1관,영화관,34.3238995,126.7415353
경기도,수원시,영통구,하동 1017-2 갤러리아 광교,CGV광교 4관,영화관,37.2852032,127.0573994
대전광역시,중구,문화동,1-13 기독교연합봉사회관,대전독립영화전용관 씨네인디 U,영화관,36.3210806,127.4098094
제주특별자치도,제주시,이도이동,"1776-3 메카플러스, 3층",씨지브이 제주 8관,영화관,33.5000872,126.5273202
경기도,부천시,소사구,옥길동 745-5,CGV부천옥길2관,영화관,37.4676275,126.8232194
경상남도,김해시,율하동,1347-2번지,CGV김해율하제 3관,영화관,35.1699938,128.8135022
경기도,용인시,기흥구,청덕동 556 용인테크노밸리,메가박스(테크노밸리) 6관,영화관,37.2914026,127.1480633
울산광역시,울주군,상북면,등억알프스리 517 산악문화센터,알프스시네마2관,영화관,35.5562804,129.0679368
경상북도,상주시,서문동,140-2번지,롯데시네마 상주 3관,영화관,36.4160838,128.1543978
경기도,화성시,송동,694,CGV 동탄호수공원 제6관,영화관,37.1713241,127.1049809
경상남도,양산시,삼호동,1010-3번지,CGV 양산삼호점 3관,영화관,35.4139113,129.1678289
경기도,포천시,영북면,운천리 514-6,포천)클라우드시네마 2관,영화관,38.0907872,127.2719967
울산광역시,북구,신천동,51 신천CGV LEEPLEX,CGV울산신천 1관,영화관,35.6349816,129.3557742
대전광역시,서구,관저동,1735,롯데컬처웍스(주)롯데시네마 대전 관저 2관,영화관,36.3025884,127.3337163
경기도,오산시,원동,335-10,CGV(오산중앙)7관,영화관,37.1419832,127.0709907
서울특별시,성동구,성수동1가,656-335 메가박스 스퀘어,메가박스중앙(주) 성수지점 1관,영화관,37.5418829,127.044969
서울특별시,마포구,동교동,160-4 아일렉스,메가박스중앙(주) 홍대지점 1관,영화관,37.5560723,126.9220973
충청북도,충주시,달천동,786-3,롯데시네마 충주점 5관,영화관,36.9617535,127.8982096
경기도,부천시,소사구,옥길동 768 스타필드시티 부천,메가박스 중앙(주) 부천 스타필드시티지점 5관,영화관,37.4615357,126.8139516
서울특별시,성북구,동선동1가,1-2 유타,CGV 성신여대입구 1관,영화관,37.59262,127.0171859
서울특별시,성북구,동선동1가,1-2 유타몰 12층,CGV 성신여대입구 5관,영화관,37.59262,127.0171859
경상북도,예천군,호명면,산합리 1430 경북빌딩,메가박스 경북도청점 3관,영화관,36.5754691,128.4929107
대전광역시,서구,도안동,1774 KD U PLAZA,CGV 가수원점 3관,영화관,36.30548,127.3507523
경기도,용인시,수지구,성복동 23 롯데몰성복점,롯데시네마 수지 1관,영화관,37.3127488,127.0833446
경기도,화성시,봉담읍,동화리 564,CGV화성봉담 1관,영화관,37.2190664,126.9555162
인천광역시,중구,중산동,1883-12 세영프라자,시네마코리아 영종하늘 1관,영화관,37.4897298,126.5613928
경기도,수원시,권선구,금곡동 1114-1 리더스 빌딩 10층호,롯데시네마 서수원 1관,영화관,37.2750138,126.9540954
경기도,수원시,권선구,금곡동 1114-1 리더스 빌딩 9층호,롯데시네마 서수원 6관,영화관,37.2750138,126.9540954
부산광역시,부산진구,부전동,227-2 삼정타워 11층,CGV서면삼정타워제8관,영화관,35.1530108,129.0596068
대구광역시,달성군,현풍읍,중리 490,롯데시네마 무비로드 1관,영화관,35.6932037,128.456334
경기도,이천시,중리동,201-1번지,Premium 10,영화관,37.2797283,127.4440849
