상품명,도,시군구
"양떡메(양파즙, 떡가래, 메주)",경상남도,합천군
산그리메(국화차),경상남도,합천군
산그리메(감잎차),경상남도,합천군
산그리메(뽕잎차),경상남도,합천군
합천 육묘장,경상남도,합천군
봉산건강원,경상남도,합천군
매실,경상남도,합천군
고추,경상남도,합천군
유자청,경상남도,통영시
참다래,경상남도,통영시
시금치,경상남도,통영시
땅두릅,경상남도,통영시
파프리카,경상남도,통영시
밀감,경상남도,통영시
딸기,경상남도,통영시
고구마줄기,경상남도,통영시
통영풍난,경상남도,통영시
고구마,경상남도,통영시
산딸기,경상남도,김해시
키위,경상남도,김해시
매실,경상남도,김해시
포도,경상남도,김해시
복숭아,경상남도,김해시
단감,경상남도,김해시
파프리카,경상남도,김해시
부추,경상남도,김해시
가지,경상남도,김해시
토마토,경상남도,김해시
참외,경상남도,김해시
딸기,경상남도,김해시
서양란,경상남도,김해시
금어초,경상남도,김해시
숙근안개초,경상남도,김해시
거베라,경상남도,김해시
카네이션,경상남도,김해시
국화,경상남도,김해시
장미&장군차,경상남도,김해시
한천,경상남도,밀양시
양란,경상남도,밀양시
딸기,경상남도,밀양시
단감,경상남도,밀양시
창녕 송이버섯,경상남도,창녕군
