도,시군구,청명,위도,경도,상품명
경상북도,안동시,안동시청,36.56846076,128.7295874,"안동곶감, 안동식혜, 안동국화차, 안동단호박, 안동딸기, 안동포, 안동고추, 안동쌀, 안동사과, 안동간고등어, 안동산약(마), 안동포도, 안동한지, 하회탈, 안동소주, 안동참외, 안동한우"
경상북도,성주군,성주군청,35.91909343,128.2829324,"포도(샤인머스캣), 팽이버섯, 오미자, 벌꿀, 노루궁뎅이 버섯, 표고버섯, 느타리버섯, 새송이버섯, 사과, 토마토, 참외"
경상북도,봉화군,봉화군청,36.8931351,128.7323867,"딸기, 햇살듬뿍, 감자, 잡곡, 수박, 화훼, 표고버섯, 한약우, 송이, 고추, 사과"
경상북도,울릉군,울릉군청,37.48444159,130.9057128,"고사리, 명이, 부지갱이, 미역취, 땅두릅, 두릅, 서덜취, 머위, 음나무, 섬초롱꽃, 참고비(섬고사리), 삼나물(눈개승마), 두메부추"
경상북도,예천군,예천군청,36.64693641,128.4373595,"단샘미, 일품쌀, 복숭아, 참외, 예천배, 양잠제품, 학가산메주, 고춧가루, 예천 참기름, 금당꿀, 예천사과, 은풍준시 곶감, 예천잡곡"
경상북도,청송군,청송군청,36.43622816,129.0570705,"꽃돌, 남근목공방, 청송한지, 청송옹기, 국화차, 통밀빵, 야생화, 산나물김치, 엿기름, 칡즙, 전통장류, 상황버섯, 느타리버섯, 표고버섯, 상추, 오이와 호박, 포도, 꿀배, 고춧가루, 인진쑥, 주왕산한우, 양봉꿀, 토종꿀, 야콘, 꽃송이버섯, 토마토, 파프리카, 토종대추, 세척고추, 청송사과"
경상북도,경주시,경주시청,35.85621666,129.2247817,"부추, 딸기, 사과, 포도, 경주천년한우, 경주체리, 양송이, 토마토"
경상북도,고령군,고령군청,35.72606532,128.2628958,"가야그린포크 & 가야한우, 감자, 성산메론, 고령 딸기, 참외, 우곡그린수박, 고령옥미"
경상북도,청도군,청도군청,35.64738481,128.7340153,"감와인, 과육퓨레, 아이스홍시, 감잎차, 감식초, 반건시, 감말랭이, 쌀, 대추, 딸기, 느타리버섯, 팽이버섯, 노지고추, 한재미나리, 복숭아, 청도반시"
경상북도,영주시,영주시청,36.80561928,128.623937,"산삼배양근, 벌꿀, 부각, 한과, 버섯, 술, 문어, 전통장류, 가지&애호박, 복숭아, 자두, 고구마, 참마, 생강, 포도, 콩, 계란, 쌀, 한우, 풍기인삼, 사과"
경상북도,상주시,상주시청,36.4109398,128.1591451,"상주 오미자, 상주 벌꿀, 상주 복숭아, 상주 한우, 상주 오이, 상주 포도, 상주 사과, 상주 배, 상주 곶감, 상주 쌀"
경상북도,김천시,김천시청,36.13988817,128.1136245,"김천자두, 김천포도"
경상북도,의성군,의성군청,36.35271644,128.6970778,"마늘, 쌀, 복숭아, 자두, 사과"
경상남도,고성군,고성군청 경남,34.97273871,128.4678663,"찰옥수수, 곱배인삼, 부추, 시금치, 파프리카, 화훼, 애호박, 취나물, 풋고추, 딸기, 버섯, 참다래, 방울토마토, 단감, 고성 쌀, 고성녹용, 고성돼지, 고성한우"
